,关键词,频次
1,996,4574
2,加班,884
3,员工,700
4,工作,666
5,马云,606
6,不是,582
7,奋斗,536
8,资本家,475
9,没有,450
10,老板,396
11,剥削,371
12,加班费,364
13,时间,300
14,工资,296
15,生活,286
16,公司,273
17,企业,270
18,阿里,264
19,问题,259
20,不要,258
21,选择,246
22,强制,241
23,老师,233
24,现在,231
25,热爱,228
26,觉得,227
27,劳动法,220
28,偷换概念,202
29,小时,197
30,压榨,190
31,违法,187
32,不能,183
33,努力,174
34,付出,172
35,法律,169
36,社会,159
37,真的,158
38,大家,154
39,喜欢,154
40,理想,152
41,955,151
42,愿意,149
43,企业家,147
44,别人,147
45,不会,147
46,上班,146
47,应该,144
48,007,143
49,每个,141
50,国家,140
51,鸡汤,139
52,中国,136
53,事业,133
54,孩子,132
55,回报,130
56,需要,128
57,洗脑,127
58,家庭,127
59,工作制,124
60,普通人,121
61,成功,119
62,家人,117
63,年轻人,116
64,知道,115
65,很多,112
66,这种,105
67,阿里巴巴,104
68,下班,103
69,个人,99
70,其实,97
71,梦想,96
72,关键,96
73,言论,95
74,要求,94
75,反对,94
76,讨论,93
77,自愿,92
78,每天,91
79,可能,90
80,打工,84
81,人民,83
82,劳动者,83
83,爸爸,82
84,快乐,82
85,普通员工,82
86,大部分,80
87,现实,80
88,不想,80
89,不好,79
90,支持,78
91,科学家,77
92,997,77
93,淘宝,77
94,出来,77
95,不了,76
96,事情,76
97,人生,75
98,辞职,74
99,大多数,73
100,劳动,73
